"","run","sv_x","sv_y","sv_z","nv_x","nv_y","nv_z","hp_x","hp_y","hp_z","sp_x","sp_y","sp_z","Collision_speed","X","Y","Z","head","inc","speed","rotation","lag","seal_length","seal_width"
"57",2064,0,1.81876218318939,0,-8.63790321350098,0,1.6495395898819,-12.064432144165,-0.529781579971313,0.980136930942535,-12,0.182195752859116,1,8.98010298293945,-1,-12,1,0,0,1.82,0.72780229725,2.24458,1.41,0.3
"58",2065,0,1.81876218318939,0,2.79281044006348,0,-8.29292774200439,-12.0030031204224,0.0199042614549398,0.997875571250916,-12,-0.636247396469116,1,8.93758009494558,-1,-12,1,0,0,1.82,0.72780229725,2.41724,1.41,0.3
"59",2070,0,1.81876218318939,0,-8.67737865447998,0,1.58921205997467,-12.1027460098267,0.03107950091362,0.979562878608704,-12,-0.151243984699249,1,9.00724090588926,-1,-12,1,0,0,1.82,0.72780229725,3.28054,1.41,0.3
"60",2074,0,1.81876218318939,0,5.635422706604,0,6.69387674331665,-12.0019235610962,-0.0445013605058193,1.00464129447937,-12,0.667199194431305,1,8.93721841488595,-1,-12,1,0,0,1.82,0.72780229725,3.97118,1.41,0.3
"61",2076,0,1.81876218318939,0,5.61969661712646,0,6.71032047271729,-12,-0.0883360579609871,1.06664204597473,-12,0.333759307861328,1,8.93964686984939,-1,-12,1,0,0,1.82,0.72780229725,4.3165,1.41,0.3
"62",2079,0,1.81876218318939,0,2.94463276863098,0,-8.35183715820312,-12.1452102661133,-0.798188209533691,1.03420209884644,-12,-0.363432943820953,1,9.04057185991099,-1,-12,1,0,0,1.82,0.72780229725,4.83448,1.41,0.3
"63",2089,0,1.81876218318939,0,-8.67524147033691,0,1.50946617126465,-12.0855875015259,-0.0145491426810622,0.914414167404175,-12,0.15188305079937,1,8.99145124322908,-1,-12,1,0,0,1.82,0.72780229725,6.56108,1.41,0.3
"64",2095,0,1.81876218318939,0,-8.66195583343506,0,1.55593752861023,-12.0781307220459,0.00412935204803944,0.92186975479126,-12,-0.151243984699249,1,8.98656316233022,-1,-12,1,0,0,1.82,0.72780229725,7.59704,1.41,0.3
"65",2099,0,1.81876218318939,0,5.64082860946655,0,6.68873882293701,-12.0016098022461,-0.0590108297765255,1.00107622146606,-12,0.667199194431305,1,8.93678186105713,-1,-12,1,0,0,1.82,0.72780229725,8.28768,1.41,0.3
"66",2100,0,1.81876218318939,0,5.76115083694458,0,6.60907363891602,-11.999077796936,-0.231508672237396,1.28646922111511,-12,0.333759307861328,1,8.95425105711191,-1,-12,1,0,0,1.82,0.72780229725,8.46034,1.41,0.3
"67",2101,0,1.81876218318939,0,6.71233224868774,0,5.78296422958374,-12.0531702041626,0.130325958132744,1.85391342639923,-12,0.576261043548584,2,9.04466567132773,-1,-12,2,0,0,1.82,0.72780229725,0,1.41,0.3
"68",2106,0,1.81876218318939,0,-8.31660175323486,0,3.15128684043884,-12.0543556213379,-0.00678859604522586,2.1312267780304,-12,0.0609449371695518,2,9.07768515015353,-1,-12,2,0,0,1.82,0.72780229725,0.8633,1.41,0.3
"69",2112,0,1.81876218318939,0,-8.24807929992676,0,2.9446804523468,-11.9003810882568,0.338264495134354,1.92199444770813,-12,0.364072024822235,2,8.94482272610563,-1,-12,2,0,0,1.82,0.72780229725,1.89926,1.41,0.3
"70",2122,0,1.81876218318939,0,1.53993713855743,0,-8.70539569854736,-12.0098905563354,1.015007853508,1.95680260658264,-12,-0.151243984699249,2,9.02569747300825,-1,-12,2,0,0,1.82,0.72780229725,3.62586,1.41,0.3
"71",2125,0,1.81876218318939,0,6.77369356155396,0,5.70502805709839,-12.0281972885132,0.0117682237178087,1.97734391689301,-12,0.576261043548584,2,9.04091606159483,-1,-12,2,0,0,1.82,0.72780229725,4.14384,1.41,0.3
"72",2131,0,1.81876218318939,0,-8.33276653289795,0,3.02895069122314,-12.0464696884155,-1.00099921226501,1.95183217525482,-12,0.0609449371695518,2,9.0508251493704,-1,-12,2,0,0,1.82,0.72780229725,5.1798,1.41,0.3
"73",2132,0,1.81876218318939,0,6.8779878616333,0,5.5501012802124,-11.9986619949341,0.0503695756196976,2.0033483505249,-12,-0.636247396469116,2,9.02320552379119,-1,-12,2,0,0,1.82,0.72780229725,5.35246,1.41,0.3
"74",2136,0,1.81876218318939,0,1.61732506752014,0,-8.70126914978027,-12.0492525100708,0.257963716983795,1.79133248329163,-12,-0.454371094703674,2,9.03524864667395,-1,-12,2,0,0,1.82,0.72780229725,6.0431,1.41,0.3
"75",2137,0,1.81876218318939,0,-8.31382846832275,0,2.99910640716553,-12.0054550170898,-0.753318071365356,1.964195728302,-12,0.364072024822235,2,9.02342942803092,-1,-12,2,0,0,1.82,0.72780229725,6.21576,1.41,0.3
"76",2140,0,1.81876218318939,0,1.61742150783539,0,-8.70126438140869,-12.0491933822632,0.257205247879028,1.79184818267822,-12,-0.454371094703674,2,9.03526169533557,-1,-12,2,0,0,1.82,0.72780229725,6.73374,1.41,0.3
"77",2144,0,1.81876218318939,0,6.88125848770142,0,5.54827737808228,-12.0014114379883,0.0290619172155857,1.99858963489532,-12,-0.636247396469116,2,9.02457739825962,-1,-12,2,0,0,1.82,0.72780229725,7.42438,1.41,0.3
"78",2147,0,1.81876218318939,0,1.56823229789734,0,-8.72897624969482,-12.055624961853,0.0528784357011318,1.91675305366516,-12,-0.151243984699249,2,9.05330166155491,-1,-12,2,0,0,1.82,0.72780229725,7.94236,1.41,0.3
"79",2154,0,1.81876218318939,0,0.348243713378906,0,-9.02854347229004,-12.1261262893677,-0.249291032552719,2.75999474525452,-12,0.0306322332471609,3,9.21649416058398,-1,-12,3,0,0,1.82,0.72780229725,0.51798,1.41,0.3
"80",2157,0,1.81876218318939,0,7.67623376846313,0,4.66325092315674,-12.0190944671631,0.29738974571228,2.8936128616333,-12,-0.484683811664581,3,9.16397124600322,-1,-12,3,0,0,1.82,0.72780229725,1.03596,1.41,0.3
"81",2161,0,1.81876218318939,0,0.27198114991188,0,-9.00843715667725,-12.0859317779541,0.215652048587799,2.79535531997681,-12,-0.272494792938232,3,9.19422694064142,-1,-12,3,0,0,1.82,0.72780229725,1.7266,1.41,0.3
"82",2164,0,1.81876218318939,0,-7.84631967544556,0,4.41791439056396,-12.0305728912354,0.0137658640742302,2.97957158088684,-12,0.576261043548584,3,9.18643536530032,-1,-12,3,0,0,1.82,0.72780229725,2.24458,1.41,0.3
"83",2165,0,1.81876218318939,0,0.272014826536179,0,-9.00843715667725,-12.0858974456787,0.215401887893677,2.79552817344666,-12,-0.272494792938232,3,9.19422793697188,-1,-12,3,0,0,1.82,0.72780229725,2.41724,1.41,0.3
