X,Y,Z,head,inc,speed,flow,lag,seal_length,seal_width,run
-3,7,7.5,0,0,0.5,0.837758041,2.58,1.41,0.3,169761
-3,7,7.5,0,0,0.5,0.837758041,2.623,1.41,0.3,169762
-3,7,7.5,0,0,0.5,0.837758041,2.666,1.41,0.3,169763
-3,7,7.5,0,0,0.5,0.837758041,2.709,1.41,0.3,169764
-3,7,7.5,0,0,0.5,0.837758041,2.752,1.41,0.3,169765
-3,7,7.5,0,0,0.5,0.837758041,2.795,1.41,0.3,169766
-3,7,7.5,0,0,0.5,0.837758041,2.838,1.41,0.3,169767
-3,7,7.5,0,0,0.5,0.837758041,2.881,1.41,0.3,169768
-3,7,7.5,0,0,0.5,0.837758041,2.924,1.41,0.3,169769
-3,7,7.5,0,0,0.5,0.837758041,2.967,1.41,0.3,169770
-3,7,7.5,0,0,0.5,0.837758041,3.01,1.41,0.3,169771
-3,7,7.5,0,0,0.5,0.837758041,3.053,1.41,0.3,169772
-3,7,7.5,0,0,0.5,0.837758041,3.096,1.41,0.3,169773
-3,7,7.5,0,0,0.5,0.837758041,3.139,1.41,0.3,169774
-3,7,7.5,0,0,0.5,0.837758041,3.182,1.41,0.3,169775
-3,7,7.5,0,0,0.5,0.837758041,3.225,1.41,0.3,169776
-3,7,7.5,0,0,0.5,0.837758041,3.268,1.41,0.3,169777
-3,7,7.5,0,0,0.5,0.837758041,3.311,1.41,0.3,169778
-3,7,7.5,0,0,0.5,0.837758041,3.354,1.41,0.3,169779
-3,7,7.5,0,0,0.5,0.837758041,3.397,1.41,0.3,169780
-3,7,7.5,0,0,0.5,0.837758041,3.44,1.41,0.3,169781
-3,7,7.5,0,0,0.5,0.837758041,3.483,1.41,0.3,169782
-3,7,7.5,0,0,0.5,0.837758041,3.526,1.41,0.3,169783
-3,7,7.5,0,0,0.5,0.837758041,3.569,1.41,0.3,169784
-3,7,7.5,0,0,0.5,0.837758041,3.612,1.41,0.3,169785
-3,7,7.5,0,0,0.5,0.837758041,3.655,1.41,0.3,169786
-3,7,7.5,0,0,0.5,0.837758041,3.698,1.41,0.3,169787
-3,7,7.5,0,0,0.5,0.837758041,3.741,1.41,0.3,169788
-3,7,7.5,0,0,0.5,0.837758041,3.784,1.41,0.3,169789
-3,7,7.5,0,0,0.5,0.837758041,3.827,1.41,0.3,169790
-3,7,7.5,0,0,0.5,0.837758041,3.87,1.41,0.3,169791
-3,7,7.5,0,0,0.5,0.837758041,3.913,1.41,0.3,169792
-3,7,7.5,0,0,0.5,0.837758041,3.956,1.41,0.3,169793
-3,7,7.5,0,0,0.5,0.837758041,3.999,1.41,0.3,169794
-3,7,7.5,0,0,0.5,0.837758041,4.042,1.41,0.3,169795
-3,7,7.5,0,0,0.5,0.837758041,4.085,1.41,0.3,169796
-3,7,7.5,0,0,0.5,0.837758041,4.128,1.41,0.3,169797
-3,7,7.5,0,0,0.5,0.837758041,4.171,1.41,0.3,169798
-3,7,7.5,0,0,0.5,0.837758041,4.214,1.41,0.3,169799
-3,7,7.5,0,0,0.5,0.837758041,4.257,1.41,0.3,169800
-3,7,8,0,0,0.5,0.837758041,0,1.41,0.3,169801
-3,7,8,0,0,0.5,0.837758041,0.043,1.41,0.3,169802
-3,7,8,0,0,0.5,0.837758041,0.086,1.41,0.3,169803
-3,7,8,0,0,0.5,0.837758041,0.129,1.41,0.3,169804
-3,7,8,0,0,0.5,0.837758041,0.172,1.41,0.3,169805
-3,7,8,0,0,0.5,0.837758041,0.215,1.41,0.3,169806
-3,7,8,0,0,0.5,0.837758041,0.258,1.41,0.3,169807
-3,7,8,0,0,0.5,0.837758041,0.301,1.41,0.3,169808
-3,7,8,0,0,0.5,0.837758041,0.344,1.41,0.3,169809
-3,7,8,0,0,0.5,0.837758041,0.387,1.41,0.3,169810
-3,7,8,0,0,0.5,0.837758041,0.43,1.41,0.3,169811
-3,7,8,0,0,0.5,0.837758041,0.473,1.41,0.3,169812
-3,7,8,0,0,0.5,0.837758041,0.516,1.41,0.3,169813
